time,open,high,low,close,volume
2026-05-18 00:00:00,2128.09,2139.85,1757.83,2115.32,765.6838
2026-05-18 01:00:00,2115.42,2121.23,2106.95,2117.66,527.4078
2026-05-18 02:00:00,2117.65,2123.89,2112.79,2116.11,388.0111
2026-05-18 03:00:00,2116.11,2123.9,2116.11,2118.44,315.7994
2026-05-18 04:00:00,2118.44,2126.46,2114.82,2125.19,289.1094
2026-05-18 05:00:00,2125.19,2125.82,2117.0,2117.27,229.0621
2026-05-18 06:00:00,2117.27,2121.0,2110.79,2118.78,440.5565
2026-05-18 07:00:00,2118.7,2124.09,2112.25,2121.18,472.5728
2026-05-18 08:00:00,2121.17,2123.92,2118.0,2121.81,312.3024
2026-05-18 09:00:00,2121.81,2121.82,2116.16,2116.73,141.5393
2026-05-18 10:00:00,2116.73,2120.32,2113.32,2114.62,288.0735
2026-05-18 11:00:00,2114.55,2139.07,2111.75,2133.89,421.7222
2026-05-18 12:00:00,2133.9,2156.89,2133.89,2152.08,588.628
2026-05-18 13:00:00,2152.09,2152.09,2122.6,2131.77,539.502
2026-05-18 14:00:00,2131.77,2131.78,2099.71,2110.01,651.4085
2026-05-18 15:00:00,2110.01,2127.69,2094.25,2106.71,680.6963
2026-05-18 16:00:00,2106.71,2110.61,2090.97,2097.89,549.9781
2026-05-18 17:00:00,2097.88,2110.17,2095.51,2108.21,519.4204
2026-05-18 18:00:00,2108.22,2109.06,2079.6,2081.76,556.9733
2026-05-18 19:00:00,2081.76,2127.7,2081.51,2124.01,169.8585
2026-05-18 20:00:00,2124.01,2130.21,2115.03,2117.85,118.4264
2026-05-18 21:00:00,2117.69,2142.37,2115.0,2138.0,121.6833
2026-05-18 22:00:00,2137.77,2141.99,2130.59,2136.03,87.3053
2026-05-18 23:00:00,2136.02,2139.17,2127.75,2130.08,85.5879
2026-05-19 00:00:00,2130.09,2142.47,2128.84,2135.9,329.1656
2026-05-19 01:00:00,2135.89,2138.13,2124.05,2125.01,436.641
2026-05-19 02:00:00,2125.01,2135.22,2119.5,2123.09,391.8834
2026-05-19 03:00:00,2123.09,2136.19,2122.06,2131.3,295.3963
2026-05-19 04:00:00,2131.29,2136.53,2128.68,2133.88,248.6767
2026-05-19 05:00:00,2133.88,2137.35,2123.87,2135.53,303.8407
2026-05-19 06:00:00,2135.28,2140.0,2132.76,2137.19,217.1746
2026-05-19 07:00:00,2137.52,2144.71,2135.61,2141.07,317.0348
2026-05-19 08:00:00,2141.06,2141.39,2131.49,2133.77,217.7848
2026-05-19 09:00:00,2133.77,2134.18,2112.53,2114.48,498.3683
2026-05-19 10:00:00,2114.48,2121.63,2107.49,2117.97,571.4788
2026-05-19 11:00:00,2118.34,2120.25,2109.29,2110.86,258.3854
2026-05-19 12:00:00,2110.86,2119.35,2109.58,2118.49,276.8311
2026-05-19 13:00:00,2118.5,2125.5,2107.68,2118.62,718.9944
2026-05-19 14:00:00,2119.03,2123.6,2096.7,2106.12,669.6254
2026-05-19 15:00:00,2106.74,2112.81,2104.05,2109.55,386.9434
2026-05-19 16:00:00,2109.76,2122.22,2107.33,2121.28,317.1474
2026-05-19 17:00:00,2121.28,2125.07,2113.07,2115.76,314.0145
2026-05-19 18:00:00,2115.75,2119.61,2110.83,2114.97,321.8093
2026-05-19 19:00:00,2115.28,2123.15,2110.9,2112.67,273.3231
2026-05-19 20:00:00,2113.15,2118.77,2112.48,2118.38,165.767
2026-05-19 21:00:00,2118.35,2120.59,2116.75,2117.14,158.3237
2026-05-19 22:00:00,2116.98,2116.98,2097.5,2106.47,381.9555
2026-05-19 23:00:00,2106.4,2118.37,2105.26,2111.61,232.295
2026-05-20 00:00:00,2111.93,2114.73,2103.72,2110.43,370.6155
2026-05-20 01:00:00,2111.05,2118.16,2103.65,2115.39,339.7566
2026-05-20 02:00:00,2115.38,2117.14,2106.67,2109.05,217.8508
2026-05-20 03:00:00,2108.71,2116.3,2106.11,2111.51,351.9715
2026-05-20 04:00:00,2111.6,2114.78,2107.5,2113.01,207.0719
2026-05-20 05:00:00,2113.21,2130.13,2113.2,2125.63,433.0255
2026-05-20 06:00:00,2125.64,2134.29,2125.63,2133.18,214.983
2026-05-20 07:00:00,2133.76,2136.5,2128.93,2129.73,216.5921
2026-05-20 08:00:00,2129.75,2137.68,2129.0,2131.92,463.7522
2026-05-20 09:00:00,2131.92,2133.0,2127.8,2129.37,166.0037
2026-05-20 10:00:00,2129.37,2136.92,1737.32,2130.92,745.4752
2026-05-20 11:00:00,2130.82,2132.24,2124.29,2128.48,390.0566
2026-05-20 12:00:00,2128.3,2137.46,2127.07,2134.08,494.1479
2026-05-20 13:00:00,2134.02,2135.29,2117.76,2120.45,566.5537
2026-05-20 14:00:00,2120.61,2138.56,2115.19,2136.25,659.2704
2026-05-20 15:00:00,2135.76,2147.18,2129.12,2136.41,426.1772
2026-05-20 16:00:00,2136.75,2140.5,2124.51,2136.02,421.5474
2026-05-20 17:00:00,2135.46,2148.28,2132.28,2140.49,349.6567
2026-05-20 18:00:00,2140.5,2140.95,2131.34,2132.09,262.9817
2026-05-20 19:00:00,2132.09,2140.99,2129.11,2139.2,456.8974
2026-05-20 20:00:00,2139.11,2140.75,2129.57,2136.21,473.4151
2026-05-20 21:00:00,2136.21,2143.09,2121.51,2130.7,330.4318
2026-05-20 22:00:00,2130.44,2130.44,2118.44,2128.37,387.2568
2026-05-20 23:00:00,2128.37,2130.29,2122.8,2129.33,193.8373
2026-05-21 00:00:00,2129.44,2144.76,2129.03,2143.0,439.1007
2026-05-21 01:00:00,2143.36,2155.19,2139.46,2141.07,602.4464
2026-05-21 02:00:00,2141.08,2147.85,2139.5,2142.47,307.4771
2026-05-21 03:00:00,2141.84,2146.83,2140.85,2146.21,209.5153
2026-05-21 04:00:00,2145.76,2148.74,2142.7,2145.01,211.4262
2026-05-21 05:00:00,2145.01,2148.18,2133.81,2136.3,324.4637
2026-05-21 06:00:00,2136.3,2138.61,2127.95,2128.37,541.3778
2026-05-21 07:00:00,2127.72,2136.97,2125.58,2135.49,447.624
2026-05-21 08:00:00,2135.23,2147.66,2135.02,2138.75,517.052
2026-05-21 09:00:00,2138.38,2140.3,2127.97,2128.1,388.1943
2026-05-21 10:00:00,2128.1,2129.61,2110.7,2114.28,626.7498
2026-05-21 11:00:00,2114.29,2119.58,2112.72,2115.43,373.73
2026-05-21 12:00:00,2115.43,2119.69,2112.76,2117.09,339.2995
2026-05-21 13:00:00,2117.09,2123.4,2106.7,2119.73,545.1557
2026-05-21 14:00:00,2119.73,2150.0,2110.72,2123.2,646.3894
2026-05-21 15:00:00,2122.16,2137.2,2119.58,2132.64,456.7517
2026-05-21 16:00:00,2132.65,2136.66,2123.1,2127.79,339.057
2026-05-21 17:00:00,2127.8,2153.41,2126.39,2146.6,513.4684
2026-05-21 18:00:00,2146.61,2147.77,2116.25,2126.56,411.8714
2026-05-21 19:00:00,2126.57,2144.89,2126.53,2143.06,303.0087
2026-05-21 20:00:00,2143.05,2143.3,2137.3,2138.9,234.215
2026-05-21 21:00:00,2138.91,2148.99,2133.46,2135.23,304.9445
2026-05-21 22:00:00,2135.22,2136.87,2131.03,2131.84,185.1349
2026-05-21 23:00:00,2131.85,2136.77,2127.93,2134.08,244.2834
2026-05-22 00:00:00,2133.79,2134.99,2129.32,2129.32,324.5025
2026-05-22 01:00:00,2129.33,2137.0,2125.67,2135.61,379.1296
2026-05-22 02:00:00,2135.62,2140.01,2134.47,2137.97,238.4451
2026-05-22 03:00:00,2137.98,2141.34,2135.29,2137.88,167.9647
2026-05-22 04:00:00,2137.89,2141.21,2132.56,2134.02,146.8794
2026-05-22 05:00:00,2134.03,2135.95,2127.39,2129.21,175.5999
2026-05-22 06:00:00,2129.22,2130.85,2124.22,2125.68,274.7203
2026-05-22 07:00:00,2125.67,2132.73,2122.47,2128.69,233.7368
2026-05-22 08:00:00,2128.7,2133.07,2121.42,2122.13,307.1439
2026-05-22 09:00:00,2122.14,2125.24,2119.33,2123.98,179.5089
2026-05-22 10:00:00,2123.97,2124.96,2120.84,2123.0,99.5818
2026-05-22 11:00:00,2123.64,2130.78,2120.89,2130.78,213.435
2026-05-22 12:00:00,2130.79,2137.63,2129.59,2133.13,238.731
2026-05-22 13:00:00,2133.31,2135.75,2124.81,2129.61,306.254
2026-05-22 14:00:00,2129.62,2129.62,2112.58,2117.43,393.2988
2026-05-22 15:00:00,2116.96,2125.49,2113.34,2119.75,288.1659
2026-05-22 16:00:00,2119.66,2124.22,2118.37,2122.69,203.9929
2026-05-22 17:00:00,2122.98,2128.98,2119.59,2119.61,262.1074
2026-05-22 18:00:00,2119.6,2121.42,2089.14,2099.69,483.393
2026-05-22 19:00:00,2099.69,2132.09,2060.0,2064.95,791.8861
2026-05-22 20:00:00,2064.95,2078.75,2064.76,2073.57,758.4528
2026-05-22 21:00:00,2073.43,2079.59,2071.56,2078.38,387.5119
2026-05-22 22:00:00,2077.91,2079.31,2066.97,2072.66,377.8463
